objectNumber,collection,briefDescription,objectName,title,titleType,material,objectProductionDate,objectProductionDateType,dimensionValue,dimension,dimensionMeasurementUnit,objectProductionPerson,objectProductionPersonRole,objectProductionPersonType,owner,owner Type
45774,Albuquerque Public Art,"Ceramic ""owl"" pot with polychrome paint.",art objects (object genres),Owl Bowl,cited,ceramic (material),1902,creation,6,height,inches,Laura Gachupin,artist,person,Albuquerque Public Art,organization
45776,Albuquerque Public Art,Traditional ceramic jar depicting a Native ceremony painted with earth pigments.,art objects (object genres),Polychrome Jar,cited,ceramic (material),1988,creation,15,height,inches,Lois Gutierrez-De La Cruz,artist,person,Albuquerque Public Art,organization
45778,Albuquerque Public Art,"Turquoise, coral, and jet bracelet in a traditional Native American motif.",art objects (object genres),Untitled - Bracelet,cited,mixed media,1902,creation,2,height,inches,Roderick Kaskalla,artist,person,Albuquerque Public Art,organization
45781,Albuquerque Public Art,Traditional ceramic seed jar painted with a black and white geometric design.,art objects (object genres),Seed Jar,cited,ceramic (material),1989,creation,11,height,inches,Dorothy Torivio,artist,person,Albuquerque Public Art,organization
45783,Albuquerque Public Art,"Silver, copper and leather Concha belt in a traditional Pueblo design.",art objects (object genres),Traditional Pueblo Concho Belt,cited,silver (metal); copper (metal); leather,1988,creation,49,length,inches,Cippy Crazy Horse,artist,person,Albuquerque Public Art,organization
45785,Albuquerque Public Art,"Abstract acrylic painting with purples, reds and whites.",paintings (visual works),Caldron,cited,acrylic paint; canvas,1987,creation,60,height,inches,Aaron Karp,artist,person,Albuquerque Public Art,organization
45787,Albuquerque Public Art,Traditional fetish necklace with various colored stones and a silver clasp.,art objects (object genres),Fetish Necklace,cited,stone (rock); silver (metal),1989,creation,30,length,inches,Dinah Gasper,artist,person,Albuquerque Public Art,organization
45789,Albuquerque Public Art,Ceramic jar with traditional Native American eagle dancer designs.,art objects (object genres),Jar with Dancers,cited,ceramic (material); paint,1988,creation,10,height,inches,Marcellus Medina,artist,person,Albuquerque Public Art,organization
45792,Albuquerque Public Art,"Woven tapestry using brown, grey, black and white fibers in a traditional Navajo design.",art objects (object genres),Untitled - Tapestry,cited,wool (hair),1989,creation,26,height,inches,Tina John,artist,person,Albuquerque Public Art,organization
45794,Albuquerque Public Art,Cotton skirt with multi colored wool embroidery along bottom portion in a traditional Hopi design.,art objects (object genres),Poe Kwinsawin,cited,cotton (textile); wool (textile),1988,creation,28,height,inches,Ramoncita Sandoval,artist,person,Albuquerque Public Art,organization
45796,Albuquerque Public Art,Ceramic female figure and baby in a traditional Hopi design.,art objects (object genres),Hopi Woman,cited,ceramic (material),1988,creation,12,height,inches,Maxine Toya,artist,person,Albuquerque Public Art,organization
45799,Albuquerque Public Art,Figurative painting of a zuni masked dancer.,paintings (visual works),Zuni Masked Dancer,cited,casein; canvas,1945,creation,26,height,inches,Pop Chalee,artist,person,Albuquerque Public Art,organization
45801,Albuquerque Public Art,"Painting depicting five stylized, multi-colored horses.",paintings (visual works),Horse Mural,cited,casein; canvas,1945,creation,4,height,feet,Pop Chalee,artist,person,Albuquerque Public Art,organization
45803,Albuquerque Public Art,Painting depicting a stylized Navajo dancer.,paintings (visual works),Navajo Yeibichai,cited,casein; canvas,1945,creation,36,height,inches,Pop Chalee,artist,person,Albuquerque Public Art,organization
45805,Albuquerque Public Art,Painting depicting a stylized figure on horseback hunting a group of four buffalo.,paintings (visual works),Buffalo Mural,cited,casein; canvas,1945,creation,4,height,feet,Pop Chalee,artist,person,Albuquerque Public Art,organization
45807,Albuquerque Public Art,Painting depicting a stylized Matachine dancer.,paintings (visual works),Matachine,cited,casein; canvas,1945,creation,36,height,inches,Pop Chalee,artist,person,Albuquerque Public Art,organization
45809,Albuquerque Public Art,Painting depicting a stylized Apache crown dancer.,paintings (visual works),Apache Crown Dancer,cited,casein; canvas,1945,creation,36,height,inches,Pop Chalee,artist,person,Albuquerque Public Art,organization
45811,Albuquerque Public Art,Painting depicting stylized deer and birds in a minimalist  landscape.,paintings (visual works),Brown Deer,cited,casein; canvas,1945,creation,35,height,inches,Pop Chalee,artist,person,Albuquerque Public Art,organization
45813,Albuquerque Public Art,Painting depicting two stylized blue deer.,paintings (visual works),Blue Deer,cited,casein; canvas,1945,creation,35,height,inches,Pop Chalee,artist,person,Albuquerque Public Art,organization
45815,Albuquerque Public Art,Painting depicting a stylized Buffalo dancer.,paintings (visual works),Buffalo Dancer,cited,casein; canvas,1945,creation,5,height,feet,Pop Chalee,artist,person,Albuquerque Public Art,organization
45818,Albuquerque Public Art,Painting depicting a stylized Taos Horsetail dancer.,paintings (visual works),Taos Horsetail Dancer,cited,casein; canvas,1945,creation,5,height,feet,Pop Chalee,artist,person,Albuquerque Public Art,organization
45820,Albuquerque Public Art,Carved wooden sculpture depicting a stylized Lady of Guadalupe.,santos,Our Lady of Guadalupe,cited,paint; wood (plant material),1988,creation,20,height,inches,Luis Tapia,artist,person,Albuquerque Public Art,organization
45821,Albuquerque Public Art,Black and white photograph of cowboy boots and spurs.,photographs,Bell Ranch Spur,cited,photographic materials,2000,creation,20,height,inches,Douglas Hall,artist,person,Albuquerque Public Art,organization
45823,Albuquerque Public Art,Acrylic painting depicting a stylized Spanish Market scene.,paintings (visual works),Spanish Market,cited,acrylic paint; canvas,1902,creation,20,height,inches,Sylvia Johnson,artist,person,Albuquerque Public Art,organization
45825,Albuquerque Public Art,"Representational bronze sculpture of two figures, one planting a tree and the other walking through a doorway.",sculpture (visual work),Look...We're Building You a Treehouse,cited,bronze (metal),2002,creation,10,height,feet,John Muir,artist,person,Albuquerque Public Art,organization
45830,Albuquerque Public Art,"Silver, lapis, coral and turquoise necklace designed in a traditional style.",art objects (object genres),Untitled - Necklace,cited,mixed media,1988,creation,8,height,inches,Richard Chavez,artist,person,Albuquerque Public Art,organization
45833,Albuquerque Public Art,Traditional black ceramic vase with an Awanyu design motif.,art objects (object genres),Lamp Vase,cited,ceramic (material),1988,creation,17,height,inches,Elizabeth Naranjo,artist,person,Albuquerque Public Art,organization
45836,Albuquerque Public Art,Traditional ceramic jar with stylized rain cloud and buffalo design elements.,art objects (object genres),Pottery Jar,cited,ceramic (material),1989,creation,7,height,inches,Nathan Youngblood,artist,person,Albuquerque Public Art,organization
45838,Albuquerque Public Art,"Fresco mural depicting farmers, a cornfield, the stages of the moon and other symbolic farming imagery.",mural paintings (visual works),Sueño Entre Sueño,cited,paint,1994,creation,9,height,feet,Bernadette Vigil,artist,person,Albuquerque Public Art,organization
45840,Albuquerque Public Art,Abstract figurative steel sculpture on a concrete pedestal.,sculpture (visual work),Para David,cited,steel (alloy),2000,creation,7,height,feet,Ed Vega,artist,person,Albuquerque Public Art,organization
45842,Albuquerque Public Art,Abstract multi colored neon shape and sound installation along an underground hallway at the downtown Convention Center.,sculpture (visual work),Celebrating Nature/the Landscape Underground,cited,neon; sound device components,2000,creation,136,length,feet,Barbara Grothus;Steve Peters,artist;artist,person;person,Albuquerque Public Art,organization
45844,Albuquerque Public Art,Painting depicting three stylized Pueblo figures under a starry sky.,paintings (visual works),Images in the Pueblo Night,cited,casein; paper (fiber product),1988,creation,16,height,inches,Robert Montoya,artist,person,Albuquerque Public Art,organization
45846,Albuquerque Public Art,Woven fiber basket in a traditional Native American design.,art objects (object genres),Untitled - Basket,cited,fiber,1988,creation,2,height,inches,Lydia Pesata,artist,person,Albuquerque Public Art,organization
45848,Albuquerque Public Art,Ceramic sculpture depicting a Native American storyteller with eight children figures.,art objects (object genres),Storyteller with Eight Separate Children,cited,ceramic (material),1988,creation,13,height,inches,Ada Suina,artist,person,Albuquerque Public Art,organization
45850,Albuquerque Public Art,Pigment paint on masonite board depicting a stylized scene of a coyote howling at the moon.,paintings (visual works),Why the Coyote Bays at the Moon,cited,pigment; Masonite (TM),1989,creation,24,height,inches,Pablita Velarde,artist,person,Albuquerque Public Art,organization
45852,Albuquerque Public Art,Necklace of clam shells & lapis in a traditional Native American design.,art objects (object genres),Untitled - Necklace,cited,mixed media,1988,creation,33,length,inches,Joe Cate; Rosey Cate,artist,person;person,Albuquerque Public Art,organization
45854,Albuquerque Public Art,"Alabaster with turquoise & Silverado jet sculpture carved to represent a traditional ""medicine bear"".",sculpture (visual work),Medicine Bear,cited,mixed media,1988,creation,9,height,inches,Stewart Quandelacy,artist,person,Albuquerque Public Art,organization
45856,Albuquerque Public Art,"Representational wood carving, painted to look like a zebra.",carvings (visual works),Zebra,cited,paint; wood (plant material),1988,creation,14,height,inches,David Alvarez,artist,person,Albuquerque Public Art,organization
45858,Albuquerque Public Art,Terracotta ceramic fish painted and glazed with bright colors.,art objects (object genres),Untitled - Pottery,cited,ceramic (material),1987,creation,12,height,inches,Eddie Dominguez,artist,person,Albuquerque Public Art,organization
45860,Albuquerque Public Art,Oil painting depicting a  woman making bread in a traditional horno (oven).,paintings (visual works),Haciendo Pan,cited,oil paint (pigmented coating); canvas,1988,creation,49,height,inches,Edward Gonzales,artist,person,Albuquerque Public Art,organization
45862,Albuquerque Public Art,"Traditional Chimayo weaving with a red background and black, gray and white design elements.",art objects (object genres),Untitled - Weaving,cited,wool (hair),1988,creation,87,height,inches,Paul Ortega;Phillip Ortiz,artist;artist,person;person,Albuquerque Public Art,organization
45864,Albuquerque Public Art,"Contemporary Chimayo weaving designed with blue, brown and gray fibers.",art objects (object genres),Lucinda,cited,wool (hair),1987,creation,32,height,inches,Luis Ortega,artist,person,Albuquerque Public Art,organization
45866,Albuquerque Public Art,Abstracted bronze statue depicting a traditional Native American Crown Dancer.,sculpture (visual work),Abstract Crown Dancer I,cited,bronze (metal),2000,creation,8,height,feet,Allan Houser,artist,person,Albuquerque Public Art,organization
45870,Albuquerque Public Art,"Carved wood cat painted with blue, black, brown and white spots.",carvings (visual works),Calico Cat,cited,paint; wood (plant material),1988,creation,19,height,inches,Mike Rodriguez,artist,person,Albuquerque Public Art,organization
45872,Albuquerque Public Art,Traditional ceramic Storyteller with numerous children and turquoise inlay.,ceramics (objects),Storyteller,cited,ceramic (material); paint,1988,creation,11,height,inches,Stella Teller,artist,person,Albuquerque Public Art,organization
45874,Albuquerque Public Art,Oil painting depicting an aerial view of Albuquerque.,paintings (visual works),Spring Fever,cited,oil paint (pigmented coating); canvas,1988,creation,50,height,inches,Francis Rivera,artist,person,Albuquerque Public Art,organization
45875,Albuquerque Public Art,"Traditional wood retablo depicting Mary, Joseph and baby Jesus.",paintings (visual works),La Huida a Egipto,cited,paint; wood (plant material),1988,creation,24,height,inches,Charles Carrillo,artist,person,Albuquerque Public Art,organization
45877,Albuquerque Public Art,Traditional carved wood retablo depicting Jesus and two mourning figures.,paintings (visual works),Cristo and Mourning Figures,cited,mixed media,1986,creation,20,height,inches,Marie Cash,artist,person,Albuquerque Public Art,organization
45879,Albuquerque Public Art,Traditional carved wood Santo of Saint Pascual.,santos,San Pascual,cited,mixed media,1987,creation,22,height,inches,Ben Ortega,artist,person,Albuquerque Public Art,organization
45881,Albuquerque Public Art,Black wood cross with straw inlay depicting popular Santos in New Mexico.,santos,Popular Santos in New Mexico,cited,wood (plant material); straw (plant material),1987,creation,18,height,inches,Paula Rodriguez,artist,person,Albuquerque Public Art,organization
45883,Albuquerque Public Art,"A traditional retablo made from textile, embroidery and tin depicting Mary, Joseph, and a young Jesus.",art objects (object genres),Holy Family,cited,textile materials; tin (metal),1988,creation,21,height,inches,Senaida Romero,artist,person,Albuquerque Public Art,organization
45885,Albuquerque Public Art,Traditional carved wood Santo of Saint Francis.,santos,St. Francis,cited,paint; wood (plant material),1988,creation,25,height,inches,Tranquilino Roybal,artist,person,Albuquerque Public Art,organization
45887,Albuquerque Public Art,"Traditional retablo triptych depicting Queen of Rosary, Lady of Guadalupe, and  Our Lady of Sorrows.",paintings (visual works),"Queen of Rosary, Lady of Guadalupe, Lady of Sorrows",cited,paint; wood (plant material),1987,creation,20,height,inches,Rosemarie Stuyck,artist,person,Albuquerque Public Art,organization
45889,Albuquerque Public Art,Traditional carved wood retablo depicting San Rafael.,santos,San Rafael,cited,paint; wood (plant material),1988,creation,20,height,inches,Horacio Valdez,artist,person,Albuquerque Public Art,organization
45891,Albuquerque Public Art,Traditional wood carving with numerous nichos and a depiction of Jesus.,carvings (visual works),Bere de Santa Cruz,cited,paint; wood (plant material),1988,creation,21,height,inches,Irene Yates,artist,person,Albuquerque Public Art,organization
45893,Albuquerque Public Art,Lifesize bronze sculpture depicting a Native American female doing the traditional basket dance.,sculpture (visual work),The Basket Dance,cited,bronze (metal),1989,creation,6,height,inches,Glenna Goodacre,artist,person,Albuquerque Public Art,organization
45895,Albuquerque Public Art,Large-scale bronze sculpture of a Native American male being lifted into the air by a soaring eagle.,sculpture (visual work),Dream of Flight,cited,bronze (metal),1988,creation,17,height,feet,Lincoln Fox,artist,person,Albuquerque Public Art,organization
45897,Albuquerque Public Art,Cast bronze sculpture depicting a stylized rainfall on a field.,sculpture (visual work),Rains for the Harvest,cited,bronze (metal),2001,creation,72,height,inches,Tammy Garcia,artist,person,Albuquerque Public Art,organization
45902,Albuquerque Public Art,Acrylic painting of two coyotes in formal attire dancing on a black and white checkerboard floor.,paintings (visual works),Last Tango in Santa Fe V,cited,acrylic paint; paper (fiber product),2001,creation,30,height,inches,Harry Fonesca,artist,person,Albuquerque Public Art,organization
45904,Albuquerque Public Art,Representational watercolor painting of a traditional adobe/stucco home in a cottonwood forest.,paintings (visual works),Corrales Mystique,cited,watercolor (paint),1999,creation,26,height,inches,Morris Rippel,artist,person,Albuquerque Public Art,organization
45906,Albuquerque Public Art,Realistic watercolor painting of a horse stable and horses and figures in the rain.,paintings (visual works),"""What the hell are we waiting for now, Christmas?""",cited,gouache (water-base paint),1988,creation,20,height,inches,Gordon Snidow,artist,person,Albuquerque Public Art,organization
45908,Albuquerque Public Art,Abstract oil painting with blues and blacks.,paintings (visual works),Deep Sea Falls,cited,oil paint (pigmented coating); canvas,1988,creation,39,height,inches,Frank Ettenberg,artist,person,Albuquerque Public Art,organization
45910,Albuquerque Public Art,Representational oil painting of a yellow pot siting in a windowsill with strong light and shadows.,paintings (visual works),Yellow Pot,cited,oil paint (pigmented coating); linen (material),1989,creation,37,height,inches,Russell Hamilton,artist,person,Albuquerque Public Art,organization
45912,Albuquerque Public Art,Abstract acrylic painting with reds and blacks.,paintings (visual works),Earth Legend Series,cited,acrylic paint; canvas,1989,creation,49,height,inches,Larry Calcagno,artist,person,Albuquerque Public Art,organization
45914,Albuquerque Public Art,"Photograph of the historic Tewa Motel in Albuquerque, New Mexico.",photographs,"Tewa Motel, Albuquerque, New Mexico",cited,photographic materials,1988,creation,20,height,inches,Phyllis Kennedy,artist,person,Albuquerque Public Art,organization
45916,Albuquerque Public Art,Stylized oil painting on a black and white photo of a woman emerging from a coyote figure.,paintings (visual works),Coyote with Woman Inside,cited,oil paint (pigmented coating); photographic materials,1989,creation,22,height,inches,Holly Roberts,artist,person,Albuquerque Public Art,organization
45918,Albuquerque Public Art,"Abstract figurative lithograph with blacks, yellows and reds.",lithographs,The Magician,cited,ink,1989,creation,39,height,inches,Fritz Scholder,artist,person,Albuquerque Public Art,organization
45920,Albuquerque Public Art,"Abstract landscape with yellows, blues and reds.",paintings (visual works),Sun Song,cited,oil paint (pigmented coating); canvas,1988,creation,44,height,inches,Sam Scott,artist,person,Albuquerque Public Art,organization
45922,Albuquerque Public Art,Representational oil painting depicting figures and horses in the snow.,paintings (visual works),Night on Elk Mountain,cited,oil paint (pigmented coating); canvas,1988,creation,38,height,inches,Bob Lee,artist,person,Albuquerque Public Art,organization
45924,Albuquerque Public Art,Representational oil painting depicting a family with their parked wagon in a western landscape.,paintings (visual works),Guadalupe Sunrise,cited,oil paint (pigmented coating); canvas,1988,creation,39,height,inches,Gary Niblett,artist,person,Albuquerque Public Art,organization
45926,Albuquerque Public Art,Representational oil painting of San Ildefonso Hunting Dancer.,paintings (visual works),San Ildefonso Hunting Dancer,cited,oil paint (pigmented coating); canvas,1989,creation,58,height,inches,Julian Robles,artist,person,Albuquerque Public Art,organization
45928,Albuquerque Public Art,Color lithograph depicting a white peony on a gray background.,lithographs,Botanical Layout: Peony,cited,ink; photographic materials,1989,creation,24,height,inches,Betty Hahn,artist,person,Albuquerque Public Art,organization
45930,Albuquerque Public Art,Lithograph with a realistic depiction of a mountain cut in half on an abstract ground.,lithographs,The Last Hill,cited,ink,1988,creation,19,height,inches,Bruce Lowney,artist,person,Albuquerque Public Art,organization
45932,Albuquerque Public Art,Black and white lithograph with a subtle depiction of a landscape.,lithographs,Quiet Scherzo I,cited,ink,1988,creation,18,height,inches,Earl Stroh,artist,person,Albuquerque Public Art,organization
45934,Albuquerque Public Art,Silkscreened acrylic sculpture with various colors.,sculpture (visual work),All that Surrounds the Earth Surrounds Me,cited,acrylic paint; plastic laminate,1988,creation,10,height,inches,Hilda Volkin,artist,person,Albuquerque Public Art,organization
45936,Albuquerque Public Art,Raiku fired ceramic vessel with a somewhat odd shape.,art objects (object genres),Untitled - Pottery,cited,ceramic (material),1989,creation,17,height,inches,Liz Anderson,artist,person,Albuquerque Public Art,organization
45939,Albuquerque Public Art,Abstract wood and marble sculpture set in a delicate configuration.,sculpture (visual work),Serenity and Hope,cited,wood (plant material); marble (rock),1989,creation,35,height,inches,John Boomer,artist,person,Albuquerque Public Art,organization
45941,Albuquerque Public Art,Ceramic pot with metallic leaf applied in an abstract design.,art objects (object genres),Untitled (Ilena Grayson),cited,ceramic (material),1989,creation,15,height,inches,Ilena Grayson,artist,person,Albuquerque Public Art,organization
45942,Albuquerque Public Art,Small mixed media sculptural doll with red fabric depicting an Andean spirit.,sculpture (visual work),Andean Spirit,cited,mixed media,1988,creation,29,height,inches,Louise Laval,artist,person,Albuquerque Public Art,organization
45944,Albuquerque Public Art,Clay and acrylic paint on canvas to resemble a relief. Abstract background with calligraphical text.,paintings (visual works),Rites,cited,acrylic paint; canvas; ceramic (material),1988,creation,40,height,inches,Virginia Dehn,artist,person,Albuquerque Public Art,organization
45946,Albuquerque Public Art,Color lithograph depicting a Navajo woman and a large black and white storage jar.,lithographs,"The Navajo Nation ""Storage Jar""",cited,ink,1987,creation,26,height,inches,RC Gorman,artist,person,Albuquerque Public Art,organization
45948,Albuquerque Public Art,Porcelain and mixed media on wood made to resemble an ancient looking facade.,art objects (object genres),La Facade II,cited,porcelain; wood (plant material); mixed media,1988,creation,46,height,inches,Martha Slaymaker,artist,person,Albuquerque Public Art,organization
45950,Albuquerque Public Art,Abstract oil and mixed media on masonite board.,paintings (visual works),Buffalo White,cited,oil paint (pigmented coating); Masonite (TM); mixed media,1984,creation,30,height,inches,Arthur Sussman,artist,person,Albuquerque Public Art,organization
45952,Albuquerque Public Art,Color lithograph of an abstract organic shape with green.,lithographs,Figure in Green,cited,pigment,1989,creation,22,height,inches,Clinton Adams,artist,person,Albuquerque Public Art,organization
45954,Albuquerque Public Art,Representational color lithograph depicting a man in his print studio.,lithographs,Profile in Blue,cited,ink; paper (fiber product),1989,creation,47,height,inches,Ron Adams,artist,person,Albuquerque Public Art,organization
45956,Albuquerque Public Art,Representational color lithograph depicting a man in his print studio.,lithographs,Untitled: 81.2.1 A+B,cited,ink; Mylar (TM),1989,creation,47,height,inches,Garo Antreasian,artist,person,Albuquerque Public Art,organization
45958,Albuquerque Public Art,Color landscape photograph depicting the intersection of Carlisle and Central Ave.,photographs,"Central Ave. at Carlisle, Albuquerque",cited,photographic materials,1990,creation,13,height,inches,Gus Foster,artist,person,Albuquerque Public Art,organization
45960,Albuquerque Public Art,Black and white photograph of musician Rudolfo Mascarenas  playing a guitar.,photographs,"Rudolfo Mascarenas - Amalia, New Mexico",cited,photographic materials,1990,creation,20,height,inches,Miguel Gandert,artist,person,Albuquerque Public Art,organization
45962,Albuquerque Public Art,Black and white photograph of Ansel Adams in Rancho de Taos.,photographs,"Ansel Adams - Ranchos de Taos, New Mexico",cited,photographic materials,1990,creation,16,height,inches,Beaumont Newhall,artist,person,Albuquerque Public Art,organization
45964,Albuquerque Public Art,Mixed media sculpture of a blue and white trailer in a southwestern locale.,sculpture (visual work),American,cited,mixed media,1988,creation,10,height,inches,Tim Prythero,artist,person,Albuquerque Public Art,organization
45966,Albuquerque Public Art,"Abstract acrylic and water color paint on paper with blue, purple, and white.",paintings (visual works),Ever Changing,cited,acrylic paint; watercolor (paint); paper (fiber product),1988,creation,23,height,inches,Jinni Thomas,artist,person,Albuquerque Public Art,organization
45968,Albuquerque Public Art,"Representational acrylic painted mural depicting narratives about ""mind, body and spirit"" including hands, light, and other figures and symbols.",mural paintings (visual works),"Shared Traditions: Mind, Body & Spirit: Native American Perspective",cited,acrylic paint; Masonite (TM),1993,creation,8,height,feet,Norman Pacheco,artist,person,Albuquerque Public Art,organization
45970,Albuquerque Public Art,Hand-colored lithograph depicting Insects and organic shapes with bright colors.,lithographs,Mothers and Babies Under...Tree,cited,ink; pigment,2000,creation,11,height,inches,Coex’ae Qgam,artist,person,Albuquerque Public Art,organization
45972,Albuquerque Public Art,Hand-colored lithograph depicting Insects and organic shapes with bright colors.,lithographs,Locust with Bushman Potato (Quare),cited,ink; pigment,2000,creation,11,height,inches,Coex’ae Qgam,artist,person,Albuquerque Public Art,organization
45974,Albuquerque Public Art,Hand-colored lithograph with black and white symbols and shapes.,lithographs,Remembering II,cited,ink; pigment,2000,creation,11,height,inches,Diana Reyna,artist,person,Albuquerque Public Art,organization
45976,Albuquerque Public Art,Hand-colored lithograph of an abstract and figurative motif.,lithographs,Stories from Within,cited,ink; pigment,2000,creation,11,height,inches,Nora Naranjo Morse,artist,person,Albuquerque Public Art,organization
45978,Albuquerque Public Art,"Hand-colored lithograph of organic shapes, flora, and branches with petals in bright colors.",lithographs,Jujubu and Nxam Veldfood,cited,ink; pigment,2000,creation,11,height,inches,Cg�ose Ntcoxo,artist,person,Albuquerque Public Art,organization
45980,Albuquerque Public Art,"Lithograph print depicting a joker hat, a hand and text in a  grid configuration.",lithographs,Trickster I,cited,ink; pigment,2000,creation,15,height,inches,Felice Lucero,artist,person,Albuquerque Public Art,organization
45982,Albuquerque Public Art,Lithograph print depicting a box with a grid containing different stylized nature symbols and surrounded with text.,lithographs,Trickster II,cited,ink; pigment,2000,creation,15,height,inches,Felice Lucero,artist,person,Albuquerque Public Art,organization
45984,Albuquerque Public Art,Figurative lithograph print with two figures on an orange color field.,lithographs,Culture Speak,cited,ink; pigment,2000,creation,15,height,inches,Nora Naranjo Morse,artist,person,Albuquerque Public Art,organization
45986,Albuquerque Public Art,"Hand colored lithograph print of birds, animals, and a tree in the background.",lithographs,Tortoise with Ostrich,cited,ink; pigment,2000,creation,15,height,inches,Xqaiqa Qomtcaa,artist,person,Albuquerque Public Art,organization
45988,Albuquerque Public Art,Hand colored lithograph print with figurative and symbolic forms of animals and objects floating on a white background.,lithographs,Trickster Hare and Lion,cited,ink; pigment,2000,creation,15,height,inches,Xqaiqa Qomtcaa,artist,person,Albuquerque Public Art,organization
45990,Albuquerque Public Art,Hand colored lithograph print depicting a monster attacking a city while airplanes shoot at it.,lithographs,King of the Monsters,cited,ink; pigment,2000,creation,11,height,inches,Mateo Romero,artist,person,Albuquerque Public Art,organization
45992,Albuquerque Public Art,Hand colored lithograph print depicting wrestling businessmen and dancing Native Americans in an abstract landscape with airplanes overhead.,lithographs,"Gods of the Warm, Cold Middle",cited,ink; pigment,2000,creation,11,height,inches,Mateo Romero,artist,person,Albuquerque Public Art,organization
45994,Albuquerque Public Art,"Hand colored lithograph print depicting birds, stick figures, and flora with pink and black colors.",lithographs,Birds and Women Eating Sour...,cited,ink; pigment,2000,creation,11,height,inches,Coex�ae Qgam,artist,person,Albuquerque Public Art,organization
45996,Albuquerque Public Art,Hand colored lithograph print with black and white symbols and stick people.,lithographs,Remembering I,cited,ink; pigment,2000,creation,11,height,inches,Diana Reyna,artist,person,Albuquerque Public Art,organization
45998,Albuquerque Public Art,Three steel overlooks along the Montaño bridge offering pedestrians a place to observe the river and wildlife.,architecture (object genre),Montano Bridge Overlooks,cited,steel (alloy),1997,creation,4,height,feet,Robert Peters,artist,person,Albuquerque Public Art,organization
45999,Albuquerque Public Art,Realistic metal toad sculpture.,sculpture (visual work),Toad,cited,metal,1996,creation,9,height,inches,William Allen,artist,person,Albuquerque Public Art,organization
46001,Albuquerque Public Art,Metal dragonfly sculpture on a cement pedestal.,sculpture (visual work),Dragonfly,cited,steel (alloy),1996,creation,3,height,feet,William Allen,artist,person,Albuquerque Public Art,organization
46003,Albuquerque Public Art,A lithograph print depicting a fantastical landscape with a glowing pink cityscape deep inside a canyon.,lithographs,Mesa,cited,ink; pigment,1991,creation,25,height,inches,Carol Armijo,artist,person,Albuquerque Public Art,organization
46005,Albuquerque Public Art,"Lithograph print with abstract details and markings in yellows, greens and dark blues.",lithographs,Se Murio mi Guapanjero,cited,ink; pigment,1991,creation,19,height,inches,Maria Baca,artist,person,Albuquerque Public Art,organization
46007,Albuquerque Public Art,Lithograph print depicting photographic and hand-drawn figures of angels mingling together.,lithographs,Make Me an Angel,cited,ink; pigment,1991,creation,19,height,inches,Scott Kuykendall,artist,person,Albuquerque Public Art,organization
46009,Albuquerque Public Art,Lithograph print of four squares on white ground with pastel colors and subtle landscape imagery.,lithographs,Quartet of the Seasons of New Mexico #5,cited,ink; pigment,1991,creation,19,height,inches,Diana Stetson,artist,person,Albuquerque Public Art,organization
46011,Albuquerque Public Art,Lithograph print of the Rio Grande and nearby bosque in an expressionistic style.,lithographs,Rio Grande Nature Center,cited,ink; pigment,1991,creation,19,height,inches,Peter Manchester,artist,person,Albuquerque Public Art,organization
46013,Albuquerque Public Art,Tribal-looking mask with indigenous looking markings on face.,sculpture (visual work),Untitled (Carlos Atencio),cited,ceramic (material),1998,creation,12,height,inches,Carlos Atencio,artist,person,Albuquerque Public Art,organization
46014,Albuquerque Public Art,Pastel landscape triptych with orange sun and mountains against a blue sky.,drawings (visual works),Untitled (Caci Gallop),cited,pastels (crayons),1998,creation,12,height,inches,Caci Gallop,artist,person,Albuquerque Public Art,organization
46015,Albuquerque Public Art,Monoprint with a bright red door on a southwestern style adobe wall and green foliage in background.,prints (visual works),Untitled (Kristina Guist),cited,ink,1998,creation,12,height,inches,Kristina Guist,artist,person,Albuquerque Public Art,organization
46016,Albuquerque Public Art,Long silk tapestry with white clouds and yellow lightning bolts on a blue sky.,art objects (object genres),Untitled (Maria Marion),cited,silk (fiber),1998,creation,48,height,inches,Maria Marion,artist,person,Albuquerque Public Art,organization
46017,Albuquerque Public Art,Photograph through a plane of glass with reflections of a young girl in a red sweater reading a book.,photographs,Untitled (Laisha Abila-McMurra),cited,photographic materials,1998,creation,12,height,inches,Laisha Avila-McMurra,artist,person,Albuquerque Public Art,organization
46018,Albuquerque Public Art,Hand-colored black and white photograph of a child sitting on a stoop with a blue sweatshirt and green sneakers.,photographs,Untitled (Miranda Waldrep),cited,photographic materials,1998,creation,20,height,inches,Miranda Waldrep,artist,person,Albuquerque Public Art,organization
46019,Albuquerque Public Art,Monotype print with a figure balancing a pot on their head while walking past a building and another figure wearing a hat.,monoprints (painting and printing works),Consumer Market Series,cited,paint,1996,creation,30,height,inches,Mateo Romero,artist,person,Albuquerque Public Art,organization
46021,Albuquerque Public Art,Monotype print of a slot machine with three native motifs and dollar signs.,monoprints (painting and printing works),They Won't Show their Faces,cited,paint,1996,creation,22,height,inches,Mateo Romero,artist,person,Albuquerque Public Art,organization
46023,Albuquerque Public Art,Monotype print with Native American symbolism and references to the Tesuque camel rock landmark with blue and black colors on a beige ground.,monoprints (painting and printing works),Tesuque Pueblo Camel Rock,cited,paint,1996,creation,16,height,inches,Dorothy Herrera,artist,person,Albuquerque Public Art,organization
